Disponibilité intérieure,Aliments pour animaux,Semences,Pertes,Traitement,Nourriture,Autres utilisations (non alimentaire)
1039.0,,,59.0,,980.0,
1.0,,,,,1.0,
425.0,,,,,427.0,
7773.0,,,,,7773.0,
16491.0,7494.0,571.0,663.0,90.0,6900.0,774.0
878.0,,,,,878.0,
29.0,,,,,29.0,
559.0,,,,,559.0,
18.0,,,,,18.0,
129.0,,,4.0,,125.0,
47.0,,,,,46.0,
69.0,1.0,,,,68.0,
545.0,,,22.0,,523.0,
2778.0,2373.0,68.0,53.0,,56.0,228.0
9.0,,,,,9.0,
1072.0,,,,,980.0,92.0
76.0,,,,,76.0,
2267.0,,,183.0,,2084.0,
,,,,,,
8440.0,146.0,5.0,97.0,8169.0,23.0,
,,,,,,
419.0,85.0,20.0,1.0,313.0,,
1011.0,13.0,,,54.0,587.0,357.0
17.0,8.0,,,,8.0,
301.0,,,,89.0,40.0,172.0
,,,,,,
4.0,,,,,4.0,
63.0,,,,,62.0,1.0
156.0,,,,2.0,2.0,153.0
2167.0,700.0,,,1.0,454.0,1012.0
12.0,,,,,12.0,
1612.0,,,,3.0,237.0,1399.0
360.0,,,,,,360.0
453.0,,,,,430.0,23.0
13.0,,,,1.0,12.0,
265.0,,,,1.0,264.0,
,,,,,,
4.0,4.0,,,,,
1.0,,,,,,
23999.0,2064.0,,30.0,,21401.0,504.0
6339.0,90.0,,636.0,,5612.0,
118.0,95.0,8.0,2.0,,14.0,
27.0,1.0,,,,,26.0
7961.0,6136.0,63.0,122.0,626.0,1003.0,11.0
86.0,,,,,86.0,
13.0,3.0,,,,10.0,
,,,,,,
29.0,,,,,29.0,
567.0,,,13.0,,554.0,
1093.0,,76.0,7.0,,1010.0,
565.0,,,64.0,,501.0,
66.0,,,,,66.0,
1311.0,,,21.0,,1290.0,
8901.0,6598.0,247.0,243.0,1788.0,25.0,
,,,,,,
104.0,,,1.0,,103.0,
7.0,7.0,,,,,
339.0,,,,,339.0,
15.0,,,,,15.0,
1.0,,,,,,1.0
188.0,26.0,,2.0,148.0,9.0,3.0
208.0,156.0,9.0,4.0,,38.0,
352.0,,,,,352.0,
30.0,,,,,30.0,
208.0,4.0,,,,204.0,
17.0,,,,,17.0,
1648.0,,,15.0,90.0,1543.0,
8197.0,105.0,406.0,1230.0,234.0,5084.0,1138.0
1.0,1.0,,,,,
1847.0,,,15.0,1110.0,722.0,
290.0,7.0,,5.0,,277.0,
4872.0,3318.0,58.0,116.0,586.0,793.0,
3446.0,80.0,,12.0,3282.0,72.0,
34.0,34.0,,,,,
3393.0,7.0,,,,2946.0,440.0
23077.0,,,,23077.0,,
,,,,,,
26.0,,,1.0,26.0,,
59.0,,,,,59.0,
1694.0,,,121.0,,1573.0,
60.0,,,,,60.0,
1094.0,,,5.0,,1089.0,
4286.0,,,,,4286.0,
1569.0,,,,100.0,1469.0,
207.0,,,,2.0,205.0,
1946.0,,,,50.0,1896.0,
34.0,,,,,34.0,
25.0,,,,,25.0,
304.0,,,30.0,,274.0,
5.0,,,,,5.0,
479.0,,,48.0,,431.0,
,,,,,,
136.0,,16.0,3.0,70.0,47.0,
,,,,,,
3095.0,,,625.0,1315.0,1154.0,
2.0,,,,,2.0,
1214.0,,,,,1214.0,
898.0,,,23.0,,874.0,
42.0,,,,,42.0,
462.0,,,57.0,,404.0,
13.0,,,,,13.0,
1.0,,,,,1.0,
3.0,,,,,3.0,
1.0,,,,,1.0,
,,,,,,
,,,,,,
4.0,,,,,3.0,1.0
54.0,,,4.0,,50.0,
,,,,,,
3.0,,,,3.0,,
12.0,,,,11.0,,
11.0,,,,,11.0,
257.0,,39.0,26.0,,192.0,
17.0,,,,,15.0,2.0
1.0,,,,,1.0,
17.0,,,,,17.0,
4.0,,,,,4.0,
,,,,,,
1.0,,,,,1.0,
,,,,,,
260.0,,,,,65.0,195.0
9.0,,,,,7.0,2.0
92.0,,,,,77.0,15.0
5.0,,,,,5.0,
4.0,4.0,,,,,
277.0,2.0,,11.0,,264.0,
1540.0,,,197.0,,1344.0,
16412.0,8880.0,,3282.0,,4249.0,
1531.0,270.0,58.0,252.0,118.0,833.0,
23.0,,,,,23.0,
39.0,,2.0,3.0,3.0,30.0,
,,,,,,
,,,,,,
2.0,,,,,2.0,
29.0,,3.0,2.0,,24.0,
7.0,,,,,7.0,
6.0,,,,,6.0,
99.0,,,,99.0,,
23.0,,,,21.0,,2.0
1200.0,,,144.0,,1056.0,
131.0,,,,,131.0,
,,,,,,
,,,,,,
4.0,,,,4.0,,
20.0,,,,,20.0,
38.0,14.0,,,,24.0,
190.0,38.0,,,,152.0,
,,,,,,
22.0,,,,,22.0,
709.0,,215.0,57.0,,438.0,
,,,,,,
2.0,,,,,2.0,
