Disponibilité intérieure,Aliments pour animaux,Semences,Pertes,Traitement,Nourriture,Autres utilisations (non alimentaire)
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
2.0,,,,,2.0,
4.0,,,,,,4.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20.0,,,,,5.0,15.0
,,,,,,
,,,,,,
,,,,,,
11.0,,,,,11.0,
,,,,,,
8.0,,,,,7.0,1.0
,,,,,,
,,,,,,
5.0,,,,,4.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
2.0,,,,,2.0,
,,,,,,
,,,,,,
,,,,,,
14.0,,,,,14.0,
3.0,,,,,3.0,
1.0,,,,,,1.0
7.0,,,,,7.0,
16.0,,,,,16.0,
,,,,,,
,,,,1.0,,
2.0,2.0,,,,,1.0
43.0,,,,,43.0,
,,,,,,
9.0,,,,,9.0,
,,,,,,
366.0,,,40.0,,326.0,
,,,,,,
12.0,,,,,12.0,
,,,,,,
12.0,,,3.0,,10.0,
9.0,,,,,9.0,1.0
6.0,,,,,6.0,
1.0,,,,,1.0,
5.0,4.0,,,,1.0,
38.0,,,4.0,,34.0,
15.0,,,,,15.0,
10.0,,,,,10.0,
100.0,,,2.0,,98.0,
,,,,,,
1.0,,,,,,
,,,,,,
2.0,,,,,2.0,
8.0,,,,,,8.0
1.0,,,,,1.0,
18.0,,,,,3.0,17.0
,,,,,,
1.0,,,,,1.0,
4.0,,,,,3.0,1.0
1.0,,,,,,1.0
,,,,,,
31.0,,,,,24.0,7.0
38.0,,,,,15.0,24.0
1.0,,,,,1.0,1.0
8.0,,,,,8.0,
,,,,,,
5.0,,,,,2.0,3.0
,,,,,,
,,,,,,
527.0,,,,,531.0,
502.0,,,26.0,,475.0,
26.0,,,,,26.0,
2.0,,,,,1.0,2.0
211.0,176.0,,8.0,,20.0,7.0
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
17.0,,,,,17.0,
48.0,,3.0,3.0,,42.0,
131.0,,,13.0,,117.0,
5.0,,,,,5.0,
118.0,,,10.0,,108.0,
351.0,333.0,,18.0,,,
3.0,,,,,3.0,
1.0,,,,,1.0,
10.0,,,,,10.0,
1.0,,,,,1.0,
,,,,,,
5.0,5.0,,,,,
,,,,,,
9.0,,,,,9.0,
6.0,,,,,6.0,
16.0,,,,,16.0,
1.0,,,,,1.0,
41.0,,,,,33.0,9.0
229.0,,1.0,8.0,,219.0,1.0
2.0,2.0,,,,,
20.0,,,1.0,,19.0,
165.0,,,9.0,,148.0,9.0
,,,,,,
,,,,,,
,,,,,,
114.0,,,,,115.0,
,,,,,,
2.0,,,,,2.0,
4.0,,,,,4.0,
6.0,,,,,6.0,
173.0,,,14.0,,160.0,
53.0,,,,,53.0,
44.0,,,,,44.0,
181.0,,,,,181.0,
,,,,,2.0,
11.0,,,,,11.0,
3.0,,,,,3.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
29.0,,,,,29.0,
122.0,,1.0,11.0,,109.0,
1.0,,,,,1.0,
22.0,,,,,22.0,
,,,,,,
,,,,,,
,,,,,,
2.0,,,,,2.0,
4.0,,,,,4.0,
,,,,,,
54.0,,,2.0,,52.0,
1.0,,,,,1.0,
14.0,,1.0,,,13.0,
2.0,,,,,2.0,
,,,,,,
,,,,,,
54.0,,,1.0,,53.0,
39.0,,,3.0,,36.0,
354.0,,3.0,20.0,2.0,329.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2.0,,,,,2.0,
3.0,,,,,3.0,
3.0,,,,2.0,1.0,
,,,,,,
,,,,,,
2.0,,,,2.0,,
3.0,,,,,3.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
3.0,,,,,3.0,
130.0,,,13.0,,117.0,
,,,,,,
8.0,,,,,8.0,
25.0,1.0,,1.0,4.0,20.0,
30.0,,,,,30.0,
,,,,,,
3.0,,,,,3.0,
7.0,,,,,7.0,
12.0,,,,,12.0,
4.0,,,,,4.0,
21.0,,,,,21.0,
6.0,,,,,6.0,
1.0,,,,,1.0,
1.0,,,,,1.0,
13.0,,,,,13.0,
1.0,,,,,1.0,
10.0,,,,,,10.0
1.0,,,,,1.0,
3.0,,,,,3.0,
,,,,,,
1.0,,,,,1.0,
118.0,92.0,13.0,3.0,,10.0,
12.0,,,,,12.0,
1.0,,,,,1.0,
3.0,,,,,3.0,
156.0,,,,,156.0,
345.0,69.0,95.0,13.0,20.0,148.0,
18.0,,,,,18.0,
4.0,,,,,4.0,
9.0,,,,,9.0,
,,,,,,
3.0,,,,,3.0,
,,,,,,
3.0,,,,,3.0,
38.0,,,,,38.0,
57.0,46.0,8.0,1.0,,2.0,
,,,,,,
23.0,,,,,23.0,
5.0,,,,,5.0,
29.0,,,,,29.0,
,,,,,,
121.0,,1.0,3.0,117.0,,
3.0,3.0,,,,,
22.0,,,,,13.0,9.0
11.0,10.0,1.0,,,,
5.0,,,,,1.0,4.0
,,,,,,
,,,,,,
2.0,,,,,2.0,
,,,,,,
99.0,,,,,16.0,83.0
,,,,,,
1.0,,,,,,1.0
,,,,,,
6.0,,,,,3.0,3.0
,,,,,,
4.0,,,,,4.0,
,,,,,,
,,,,,,
,,,,,,
496.0,130.0,,2.0,,357.0,7.0
194.0,,,5.0,1.0,190.0,
-1.0,,,,,,
,,,,,,
23.0,22.0,,,,,
2.0,,,,,2.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
7.0,,,,,7.0,
30.0,,1.0,,,29.0,
17.0,,,1.0,,16.0,
2.0,,,,,2.0,
24.0,,,3.0,,21.0,
196.0,92.0,21.0,4.0,31.0,48.0,
,,,,,,
3.0,,,,,3.0,
,,,,,,
5.0,,,,,5.0,
,,,,,,
,,,,,,
3.0,3.0,,,,,
6.0,5.0,1.0,,,,
6.0,,,,,6.0,
11.0,,,,,11.0,
21.0,1.0,,,,21.0,
,,,,,,
27.0,,,1.0,12.0,14.0,
510.0,110.0,100.0,10.0,42.0,239.0,9.0
,,,,,,
13.0,,,,3.0,10.0,
5.0,,,,,5.0,
75.0,27.0,6.0,4.0,,38.0,
3.0,,,,3.0,,
,,,,,,
76.0,,,,13.0,62.0,
1.0,1.0,,,,,
,,,,,,
1.0,,,,,1.0,
27.0,,,1.0,,26.0,
1.0,,,,,1.0,
11.0,,,,,10.0,
72.0,,,1.0,,72.0,
42.0,,,,,42.0,
,,,,,,
7.0,,,,,7.0,
1.0,,,,,1.0,
7.0,,,,,7.0,
-1.0,,,,,,
3.0,,,,,,3.0
6.0,,,,,6.0,
17.0,,,,,17.0,
17.0,,,,11.0,5.0,
1.0,,,,,,
82.0,,,13.0,,69.0,
12.0,,,,,12.0,
6.0,,,,,6.0,
43.0,,,,,39.0,4.0
767.0,153.0,6.0,22.0,,577.0,9.0
13.0,,,,,13.0,
1.0,,,,,1.0,
42.0,,,,,42.0,
,,,,,,
94.0,,,10.0,8.0,73.0,7.0
2.0,,,,,2.0,
6.0,,,,,6.0,
3.0,,,,,3.0,
2.0,1.0,,,,,
8.0,,,,,8.0,
25.0,,,,,25.0,
9.0,,,,,9.0,
175.0,,,20.0,5.0,149.0,4.0
,,,,,,
1.0,,,,,1.0,
3.0,,,,3.0,,
3.0,,,,3.0,,
2.0,,,,,2.0,
6.0,,,,,6.0,
8.0,,,,,7.0,1.0
1.0,,,,,,
5.0,,,,,5.0,
18.0,,,,,15.0,3.0
2.0,,,,,,2.0
2.0,,,,,2.0,
8.0,,,,,8.0,
13.0,,,,,,13.0
,,,,,,
25.0,,,,,25.0,
5.0,,,,,5.0,
47.0,,,,,17.0,30.0
,,,,,,
791.0,,,20.0,,552.0,219.0
584.0,2.0,,58.0,,518.0,6.0
40.0,1.0,,1.0,,36.0,1.0
,,,,,,
416.0,399.0,,8.0,,2.0,7.0
2.0,,,,,2.0,
,,,,,,
,,,,,,
2.0,,,,,2.0,
65.0,,,,,64.0,1.0
24.0,,4.0,2.0,,18.0,
81.0,,,11.0,,70.0,
102.0,,,1.0,80.0,21.0,
91.0,,,15.0,8.0,68.0,
86.0,70.0,1.0,3.0,6.0,6.0,
9.0,,,1.0,,8.0,
2.0,,,,,2.0,
2.0,,,,,2.0,
,,,,,,
,,,,,,
1.0,,,,,,
4.0,,,,,4.0,
3.0,,,,,3.0,
23.0,,,,,23.0,
20.0,6.0,,,,14.0,
1.0,,,,,1.0,
89.0,3.0,,8.0,15.0,63.0,
335.0,,16.0,19.0,,212.0,88.0
1.0,,,,,1.0,
72.0,,,5.0,20.0,44.0,3.0
53.0,,,1.0,,52.0,
,,,,,,
,,,,,,
1.0,1.0,,,,,
217.0,,,,,190.0,27.0
1.0,1.0,,,,,
,,,,,,
24.0,,,1.0,10.0,12.0,
5.0,,,,,5.0,
373.0,,,35.0,,339.0,
12.0,,,,,11.0,
78.0,,,,,73.0,5.0
8.0,,,,,8.0,1.0
98.0,,,,,98.0,
,,,,,,
14.0,,,,,13.0,1.0
2.0,,,,,2.0,
4.0,,,,,4.0,
1.0,,,,,1.0,
9.0,,,1.0,,8.0,
,,,,,,
4.0,,,,,3.0,
1.0,,,,,1.0,
132.0,,,11.0,,121.0,
48.0,,,4.0,,44.0,
,,,,,,
20.0,,,,,20.0,
47.0,,,,,47.0,
19.0,,,,,15.0,4.0
1.0,,,,,1.0,
1.0,,,,,1.0,
,,,,,,
,,,,,,
7.0,,,1.0,,6.0,
,,,,,,
,,,,,,
2.0,,,,,2.0,
2.0,,,,,2.0,
4.0,,,,,4.0,
1.0,,,,,1.0,
4.0,,,,,4.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
66.0,,,,,63.0,3.0
5.0,,,,,5.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22.0,,,2.0,,19.0,
13.0,,,,,13.0,
121.0,,,13.0,,109.0,
6.0,,,,,6.0,
520.0,,,,,520.0,
16.0,16.0,,,,,
,,,,,,
,,,,,,
,,,,,,
3.0,,,,,3.0,
11.0,,1.0,1.0,,9.0,
9.0,,,1.0,,8.0,
1.0,,,,1.0,,
11.0,,,,11.0,,
23.0,,,2.0,,21.0,
4.0,,,,,4.0,
,,,,,,
2.0,,,,,2.0,
5.0,,,,,5.0,
7.0,,,,,7.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
28.0,,,3.0,,25.0,
,,,,,,
455.0,19.0,7.0,20.0,2.0,407.0,
3.0,,,,,3.0,
22.0,,,,,22.0,
265.0,,8.0,52.0,165.0,40.0,
,,,,,,
,,,,,,
7.0,,,,,7.0,
2.0,,,,,2.0,
3.0,,,,,3.0,
17.0,,,,,17.0,
38.0,,,,,38.0,
9.0,,,,,9.0,
,,,,,,
,,,,,,
13.0,,,,,11.0,2.0
,,,,,,
11.0,,,,,,11.0
1.0,,,,,1.0,
4.0,,,,,4.0,
1.0,,,,,1.0,
2.0,,,,,2.0,
149.0,115.0,15.0,10.0,,9.0,
19.0,,,,1.0,18.0,
3.0,,,,,3.0,
8.0,,,,,8.0,
310.0,,,,,310.0,
980.0,246.0,139.0,31.0,46.0,367.0,152.0
46.0,,,,,46.0,
1.0,,,,,1.0,
16.0,,,,,16.0,
,,,,,,
5.0,,,,,5.0,
1.0,,,,,1.0,
2.0,,,,,2.0,
16.0,,,,,16.0,
265.0,218.0,36.0,10.0,,2.0,
,,,,,,
49.0,4.0,,,,41.0,4.0
,,,,,,
33.0,,,1.0,3.0,30.0,
,,,,,,
239.0,32.0,35.0,,171.0,1.0,
5.0,,,,5.0,,
30.0,,,,,10.0,20.0
15.0,9.0,1.0,5.0,,,
7.0,,,,,1.0,6.0
,,,,,,
,,,,,,
1.0,,,,,1.0,
1.0,,,,,1.0,
137.0,,,,,4.0,133.0
,,,,,,
10.0,,,,,,11.0
,,,,,,
5.0,,,,,5.0,
,,,,,,
19.0,,,,,11.0,8.0
,,,,,,
,,,,,,
1395.0,483.0,,21.0,,891.0,
264.0,11.0,6.0,12.0,,235.0,
25.0,23.0,2.0,,,,
6.0,6.0,,,,,
251.0,223.0,,,26.0,2.0,
2.0,,,,,2.0,
,,,,,,
,,,,,,
2.0,,,,,2.0,
4.0,,,,,4.0,
44.0,,4.0,,,40.0,
40.0,,,2.0,,38.0,
2.0,,,,,2.0,
48.0,,,,,48.0,
543.0,374.0,38.0,15.0,56.0,24.0,36.0
7.0,,,,,7.0,
,,,,,,
19.0,,,,,19.0,
,,,,,,
,,,,,,
7.0,6.0,,,,,
30.0,13.0,6.0,,,11.0,
13.0,,,,,13.0,
,,,,,,
134.0,8.0,,,,96.0,30.0
,,,,,,
56.0,2.0,,,31.0,23.0,
532.0,113.0,90.0,29.0,10.0,289.0,1.0
,,,,,,
17.0,,,,8.0,9.0,
9.0,,,,,9.0,
113.0,37.0,9.0,2.0,23.0,43.0,
9.0,9.0,,,,,
,,,,,,
114.0,,,,12.0,100.0,2.0
1034.0,1.0,,,1033.0,,
,,,,,,
1.0,,,,,1.0,
62.0,,,6.0,,56.0,
1.0,,,,,1.0,
14.0,,,,,14.0,
141.0,,,3.0,,138.0,
81.0,,,,1.0,81.0,
1.0,,,,,1.0,
40.0,,,,,40.0,
2.0,,,,,2.0,
2.0,,,,,2.0,
1.0,,,,,1.0,
1.0,,,,,,1.0
1.0,,,,,1.0,
2.0,,,,,2.0,
,,,,,,
,,,,,,
4.0,3.0,,,,1.0,
4.0,,,,,4.0,
1.0,,,,,1.0,
1.0,,,,,1.0,
46.0,,,,,46.0,
113.0,54.0,3.0,2.0,,55.0,
6.0,,,,,6.0,
,,,,,,
13.0,,,,,13.0,
,,,,,,
1.0,,,,,1.0,
,,,,,,
3.0,,,,,3.0,
2.0,,,,,2.0,
28.0,24.0,1.0,,,3.0,
,,,,,,
21.0,,,,,20.0,
3.0,,,,,3.0,
27.0,,,1.0,,27.0,
,,,,,,
4.0,,,2.0,2.0,,
,,,,,,
,,,,,,
4.0,,,,,1.0,2.0
,,,,,,
2.0,,,,,1.0,1.0
,,,,,,
1.0,,,,,1.0,
1.0,,,,,1.0,
,,,,,,
1.0,,,,,1.0,
,,,,,,
2.0,,,,,,2.0
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
158.0,21.0,,,,135.0,2.0
44.0,,,1.0,,42.0,
,,,,,,
,,,,,,
15.0,13.0,,,,2.0,
,,,,,,
,,,,,,
,,,,,,
2.0,,,,,2.0,
-6.0,,,1.0,,,
8.0,,,,,8.0,
3.0,,,,,3.0,
1.0,,,,,1.0,
56.0,,,,,56.0,
39.0,26.0,2.0,,7.0,1.0,3.0
,,,,,,
1.0,,,,,1.0,
,,,,,,
4.0,,,,,4.0,
,,,,,,
,,,,,,
2.0,1.0,,,1.0,,
,,,,,,
4.0,,,,,4.0,
1.0,,,,,1.0,
2.0,,,,,2.0,
,,,,,,
14.0,,,,,14.0,
36.0,1.0,3.0,2.0,,30.0,
,,,,,,
17.0,,,2.0,14.0,1.0,
2.0,,,,,2.0,
4.0,4.0,,,,1.0,
,,,,,,
,,,,,,
7.0,,,,,7.0,
,,,,,,
,,,,,,
,,,,,,
12.0,,,,,12.0,
1.0,,,,,1.0,
16.0,,,,,16.0,
23.0,,,,,23.0,
11.0,,,,,11.0,
1.0,,,,,1.0,
27.0,,,,,27.0,
1.0,,,,,1.0,
9.0,,,,,9.0,
,,,,,,
5.0,,,,,,5.0
,,,,,,
1.0,,,,,1.0,
,,,,,,
3.0,,,,,3.0,
7.0,3.0,1.0,1.0,,3.0,
3.0,,,,,3.0,
15.0,,,1.0,,13.0,
7.0,,,,,7.0,
63.0,,,3.0,,60.0,
379.0,20.0,21.0,33.0,,221.0,84.0
3.0,,,,,3.0,
,,,,,,
11.0,,,,,11.0,
,,,,,,
5.0,,,,,4.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
9.0,,,,,8.0,1.0
5.0,,,,,5.0,
64.0,,,8.0,5.0,50.0,
,,,,,,
1.0,,,,,,
,,,,,,
5.0,1.0,,,4.0,,
8.0,,,,,7.0,1.0
10.0,2.0,2.0,1.0,,6.0,
3.0,,,,,,2.0
,,,,,,
,,,,,,
2.0,,,,,2.0,
,,,,,,
,,,,,,
,,,,,,
8.0,,,,,,8.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
38.0,,,,,32.0,6.0
,,,,,,
,,,,,,
485.0,94.0,,58.0,,333.0,1.0
380.0,39.0,,50.0,,292.0,
14.0,10.0,1.0,1.0,,2.0,
,,,,,,
192.0,132.0,1.0,9.0,3.0,48.0,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
9.0,,,,,9.0,
14.0,,,,,13.0,
47.0,,,5.0,,41.0,
16.0,,,,9.0,7.0,
27.0,,,2.0,,25.0,
132.0,104.0,8.0,6.0,14.0,,
1.0,,,,,1.0,
,,,,,,
4.0,,,,,4.0,
5.0,,,,,5.0,
,,,,,,
1.0,,,,,,1.0
2.0,,,,,2.0,
2.0,,,,,2.0,
1.0,1.0,,,,1.0,
5.0,,,,,5.0,
,,,,,,
27.0,,,11.0,,15.0,
206.0,30.0,27.0,20.0,,125.0,4.0
253.0,,,6.0,136.0,94.0,18.0
10.0,,1.0,2.0,,6.0,1.0
9.0,7.0,1.0,,,1.0,
1.0,,,,,1.0,
,,,,,,
76.0,,,,,76.0,
10.0,,,,10.0,,
1.0,,,,1.0,1.0,
1.0,,,,,1.0,
108.0,,,13.0,,95.0,
2.0,,,,,2.0,
16.0,,,,,16.0,
22.0,,,,,22.0,
40.0,,,,,40.0,
1.0,,,,,1.0,
5.0,,,,1.0,5.0,
1.0,,,,,1.0,
44.0,,,,,44.0,
,,,,,,
8.0,,,,,,8.0
,,,,,,
80.0,,,8.0,,72.0,
1.0,,,,,1.0,
11.0,,3.0,1.0,5.0,2.0,
,,,,,,
355.0,,,36.0,,319.0,
,,,,,,
112.0,,,,,112.0,
204.0,,,2.0,,206.0,
11.0,,,,,11.0,
,,,,,,
53.0,,,6.0,,47.0,
,,,,,,
5.0,,,,,4.0,
78.0,,,4.0,40.0,34.0,
3.0,,,,,3.0,
,,,,,,
1.0,,,,,1.0,
,,,,,,
11.0,,,,,11.0,
3.0,,,,,3.0,
646.0,,,83.0,,549.0,15.0
12.0,,,1.0,,11.0,
,,,,,,
9.0,,,,9.0,,
,,,,,,
12.0,,,,,10.0,2.0
89.0,,7.0,12.0,,70.0,
7.0,,,,,5.0,2.0
1.0,,,,,1.0,
5.0,,,,,5.0,
,,,,,,
8.0,,,,,8.0,
1.0,,,,,1.0,
,,,,,,
56.0,,,,,9.0,47.0
1.0,,,,,,1.0
21.0,,,,,21.0,
,,,,,,
2.0,,,,,2.0,
,,,,,,
,,,,,,
598.0,,,29.0,,569.0,
386.0,,,39.0,,347.0,
13.0,,1.0,2.0,,10.0,
3364.0,196.0,,139.0,,2843.0,186.0
396.0,21.0,8.0,27.0,,412.0,
4.0,,,,,4.0,
,,,,,,
,,,,,,
,,,,,,
7.0,,,1.0,,6.0,
22.0,,4.0,1.0,,16.0,
7.0,,,,,7.0,
,,,,,,
93.0,,,9.0,,84.0,
17.0,,,,17.0,,
1.0,,,,1.0,,
12.0,,,1.0,,11.0,
1130.0,339.0,155.0,136.0,,500.0,
6.0,,,,,6.0,
2.0,,,,,2.0,
2.0,,,,,,2.0
5.0,,,,3.0,,2.0
14.0,,1.0,,,13.0,
34.0,,,,,34.0,
39.0,9.0,,,,30.0,
43.0,11.0,,,,31.0,
3.0,,,,,3.0,
9.0,,,1.0,,8.0,
225.0,12.0,56.0,27.0,,129.0,
233.0,70.0,,42.0,,122.0,
13.0,,,,13.0,,
2906.0,119.0,75.0,355.0,6.0,2350.0,
,,,,,,
,,,,,,
2.0,,,,,2.0,
155.0,,,,,155.0,
3250.0,65.0,65.0,,750.0,114.0,2256.0
,,,,,,
1.0,,,,,1.0,
39.0,,,4.0,,36.0,
13.0,,,,,13.0,
172.0,,,,,172.0,
59.0,,,,,59.0,
72.0,,,,,72.0,
8.0,,,,,8.0,
9.0,,,,,9.0,
2.0,,,,,1.0,1.0
126.0,6.0,,,,120.0,
5.0,,,,,5.0,
20.0,,,,,,20.0
49.0,,,,,49.0,
216.0,,,,,216.0,
8.0,,,,,8.0,
38.0,,,,10.0,28.0,
26.0,,,,,26.0,
286.0,,,61.0,,225.0,
,,,,,,
10.0,,,,,10.0,
264.0,,,,,260.0,4.0
1586.0,20.0,,,49.0,1517.0,
,,,,,,
2.0,,,,,2.0,
-50.0,,,1.0,,1.0,
75.0,,,,,75.0,
18.0,,,1.0,,17.0,
615.0,,,13.0,452.0,130.0,20.0
165.0,,,,,165.0,
1.0,,,,,1.0,
33.0,,,,,32.0,
18.0,,,,,18.0,
60.0,,,,,34.0,26.0
14.0,,,,,9.0,4.0
528.0,,,29.0,,499.0,
1.0,,,,,1.0,
14.0,,,,13.0,,
8.0,,,,,,8.0
2.0,,,,2.0,,
22.0,,,,,21.0,2.0
40.0,,,,,40.0,
62.0,,,,5.0,29.0,28.0
,,,,,,
5.0,,,,,5.0,
-3.0,,,,,1.0,
68.0,,,,,33.0,35.0
1.0,,,,,1.0,
10.0,,,,,10.0,
698.0,,,100.0,,205.0,393.0
1555.0,,,25.0,,130.0,1400.0
70.0,,,,,70.0,
10.0,,,,,10.0,
,,,,,,
2.0,,,,,2.0,
4.0,4.0,,,,,
2.0,,,,,2.0,
962.0,110.0,,5.0,,751.0,95.0
1574.0,,,88.0,,1507.0,1.0
30.0,,,,,30.0,
903.0,3.0,,3.0,,61.0,836.0
3846.0,3171.0,,174.0,10.0,470.0,22.0
1.0,,,,,1.0,
5.0,5.0,,,,,
,,,,,,
43.0,,,,,43.0,
53.0,,,,,58.0,
604.0,,84.0,27.0,,492.0,
397.0,,,,,397.0,
,,,,,,
199.0,,,4.0,,195.0,
70.0,4.0,,,65.0,1.0,
4880.0,,,,4880.0,,
9.0,,,1.0,,8.0,
59.0,24.0,3.0,6.0,,26.0,
360.0,,,,,360.0,
47.0,,,,,47.0,
270.0,,,,,,270.0
214.0,65.0,,,147.0,2.0,1.0
22.0,,,,,22.0,
218.0,,,,,218.0,
360.0,,,,,325.0,35.0
781.0,214.0,,,,566.0,
18.0,,,,,18.0,
104.0,,,,,104.0,
436.0,10.0,,,17.0,326.0,83.0
29.0,,,,,29.0,
59.0,,,,,59.0,
2882.0,52.0,13.0,131.0,,2415.0,271.0
,,,,,,
540.0,,,,539.0,1.0,
4.0,4.0,,,,,
1278.0,,,,,1276.0,2.0
,,,,,,
214.0,14.0,,,200.0,,
22.0,,,,21.0,,
25.0,,,,,29.0,
199.0,,,10.0,,189.0,
28.0,,,,,28.0,
194.0,,,,,194.0,
226.0,,,,,231.0,
1477.0,,,,,1219.0,258.0
,,,,,1.0,
4.0,,,,,4.0,
81.0,,,,,81.0,
23.0,,,,,23.0,
8.0,,,,,8.0,
2.0,,,,,,2.0
,,,,,,
,,,,,,
216.0,,19.0,24.0,92.0,81.0,
,,,,,,
386.0,,,39.0,,348.0,
373.0,,,37.0,,335.0,
,,,,,,
33.0,,,,,33.0,
195.0,,,2.0,,193.0,
5.0,,,,,5.0,
279.0,,,,,279.0,
5.0,,,,,5.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
363.0,,,36.0,,327.0,
,,,,,,
,,,,,,
127.0,,6.0,,121.0,,
11.0,,,,10.0,,
14.0,,,,,14.0,
165.0,29.0,22.0,48.0,,67.0,
6.0,,,,,5.0,1.0
10.0,,,,,10.0,
28.0,,,,,18.0,9.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
16.0,,,,,3.0,14.0
,,,,,,
10.0,,,,,10.0,
5.0,,,,,5.0,
,,,,,,
,,,,,,
132.0,,,5.0,,131.0,
301.0,,,30.0,,271.0,
322.0,72.0,30.0,46.0,,174.0,
4814.0,2880.0,,680.0,,1254.0,
3699.0,510.0,55.0,999.0,20.0,2115.0,
,,,,,,
39.0,2.0,1.0,,,37.0,
,,,,,,
,,,,,,
2.0,,,,,2.0,
22.0,,2.0,2.0,,18.0,
52.0,,,3.0,,49.0,
,,,,,,
1.0,,,,,1.0,
8.0,,,,8.0,1.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2.0,,,,,2.0,
,,,,,,
10.0,6.0,,,4.0,,
4.0,,,,,4.0,
116.0,,,,,116.0,
4.0,,,,,4.0,
1.0,1.0,,,,,
,,,,,,
1.0,,,,,1.0,
4535.0,450.0,207.0,454.0,,2155.0,1270.0
,,,,,,
,,,,,,
83.0,,3.0,3.0,,78.0,
,,,,,,
98.0,55.0,8.0,7.0,,29.0,
86.0,4.0,1.0,9.0,36.0,36.0,
135.0,,,,,135.0,
2900.0,,,,2900.0,,
,,,,,,
3.0,,,,,3.0,
42.0,,,4.0,,37.0,
34.0,,,,,34.0,
38.0,,,,,38.0,
89.0,,,,,89.0,
23.0,,,,,23.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
1.0,,,,,1.0,
,,,,,,
6.0,,,,,5.0,1.0
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
1.0,,,,,1.0,
2.0,,,,,2.0,
36.0,,,,,27.0,8.0
,,,,,,
,,,,,,
3.0,,,,,3.0,
,,,,,,
1.0,,,,,1.0,
1.0,,,,,1.0,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
3.0,,,,,1.0,2.0
1.0,,,,,,1.0
19.0,,,,,18.0,1.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6.0,,,,,,6.0
,,,,,,
1.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,,1.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
42.0,,,,,38.0,3.0
18.0,,,,,18.0,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6.0,,,,,5.0,
6.0,,,,,4.0,2.0
8.0,,,,,7.0,
,,,,,,
15.0,,,,,15.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5.0,,,,,5.0,
72.0,,,,,56.0,16.0
,,,,,,
12.0,,,,,12.0,
6.0,,,,,5.0,1.0
2.0,,,,,2.0,
1.0,,,,,1.0,
25.0,,,,,18.0,7.0
,,,,,,
,,,,,,
,,,,,,
10.0,,,,,10.0,
,,,,,,
,,,,,,
6.0,,,,,6.0,
,,,,,,
5.0,,,,,3.0,2.0
,,,,,,
10.0,,,,,6.0,4.0
1.0,,,,,1.0,
1.0,,,,,1.0,1.0
1.0,,,,,1.0,
55.0,,,,,55.0,
,,,,,,
2.0,,,,,,2.0
1.0,,,,,1.0,
1.0,,,,,1.0,
360.0,,18.0,7.0,200.0,22.0,112.0
,,,,,,
183.0,,,,,183.0,
,,,,,,
18.0,,,,,18.0,
197.0,,1.0,6.0,,191.0,
,,,,,,
84.0,,,,,84.0,
2.0,,,,,2.0,
,,,,,,
26.0,,,,,26.0,
1.0,,,,,1.0,
,,,,,,
,,,,,,
22.0,2.0,,2.0,,18.0,
,,,,,,
,,,,,,
,,,,,,
206.0,,,9.0,,200.0,
,,,,,,
2.0,,,,,2.0,
326.0,,44.0,,202.0,,81.0
,,,,,,
26.0,,,,,16.0,10.0
5.0,,,,,5.0,
43.0,,,,,33.0,10.0
42.0,,,,,42.0,
31.0,,,,,31.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
33.0,,,,,11.0,22.0
,,,,,,
3.0,,,,,3.0,
,,,,,,
78.0,,,4.0,,74.0,
1540.0,,,30.0,,1510.0,
779.0,,,26.0,,752.0,
283.0,,1.0,,,282.0,
38.0,17.0,,,,21.0,
